year,temperature_anomaly,co2_emissions,co2_per_capita,population,gdp,co2_ppm
1958,0.04591666666666667,8417.517,2.891,2911249671.0,,315.33
1959,0.016749999999999998,8855.112,2.986,2965950350.0,,315.9816666666666
1960,-0.049166666666666664,9386.951,3.113,3015470889.0,13338076573731.0,316.90833333333336
1961,0.03908333333333333,9414.99,3.072,3064869675.0,,317.645
1962,0.014750000000000001,9747.241,3.121,3123374312.0,,318.4533333333333
1963,0.04825000000000001,10266.777,3.216,3192807826.0,,318.9925
1964,-0.22224999999999998,10824.47,3.316,3264487343.0,,319.2022222222222
1965,-0.14133333333333334,11310.603,3.392,3334533710.0,,320.0358333333333
1966,-0.06858333333333333,11862.625,3.485,3404041131.0,,321.37
1967,-0.074,12237.371,3.523,3473412877.0,,322.18
1968,-0.11333333333333333,12905.273,3.64,3545187246.0,,323.0491666666667
1969,0.03208333333333333,13761.798,3.802,3619491581.0,,324.62166666666667
1970,-0.027,14899.139,4.033,3694683794.0,21941934246399.0,325.68333333333334
1971,-0.18591666666666665,15503.862,4.113,3769847867.0,,326.31916666666666
1972,-0.06616666666666667,16224.579,4.22,3844917684.0,,327.4575
1973,0.0625,17077.285,4.356,3920805041.0,,329.6775
1974,-0.21316666666666664,16997.912,4.253,3996416100.0,,330.2441666666667
1975,-0.14875,16988.477,4.173,4070735279.0,,331.1525
1976,-0.24150000000000002,17862.492,4.31,4144246382.0,,332.1525
1977,0.04708333333333333,18358.039,4.352,4217863796.0,,333.9008333333333
1978,-0.06166666666666667,19024.742,4.433,4292097499.0,,335.50416666666666
1979,0.057416666666666664,19508.59,4.466,4368539520.0,,336.85083333333336
1980,0.09241666666666666,19409.793,4.364,4447606240.0,31982615792285.0,338.685
1981,0.13991666666666666,18879.756,4.169,4528777306.0,,339.93416666666667
1982,0.011916666666666666,18729.742,4.06,4612673415.0,,341.13166666666666
1983,0.19408333333333336,18901.775,4.024,4697327573.0,,342.7816666666667
1984,-0.014083333333333335,19457.25,4.069,4782175518.0,,344.42249999999996
1985,-0.029833333333333333,20144.863,4.137,4868943457.0,,345.9041666666667
1986,0.045083333333333336,20438.045,4.122,4958072839.0,,347.1525
1987,0.19241666666666668,21106.189,4.18,5049746390.0,,348.93250000000006
1988,0.19866666666666666,21918.756,4.263,5141992540.0,,351.4841666666667
1989,0.11816666666666666,22200.213,4.241,5234431736.0,,352.9075
1990,0.297,22732.145,4.267,5327803106.0,43033605109062.0,354.1858333333333
1991,0.25458333333333333,23205.592,4.282,5418735886.0,,355.5916666666667
1992,0.10508333333333335,22520.424,4.09,5505989815.0,,356.3733333333333
1993,0.14891666666666667,22749.873,4.069,5591544802.0,,357.03999999999996
1994,0.20941666666666667,22974.598,4.048,5675551258.0,,358.8866666666667
1995,0.32516666666666666,23516.639,4.084,5758878977.0,,360.87833333333333
1996,0.18241666666666667,24233.477,4.148,5842055730.0,,362.6408333333334
1997,0.39041666666666663,24380.322,4.115,5924787819.0,,363.7633333333333
1998,0.5399166666666667,24295.713,4.045,6007066691.0,,366.62999999999994
1999,0.30691666666666667,24837.771,4.079,6089006328.0,,368.31333333333333
2000,0.29591666666666666,25511.482,4.134,6171702992.0,59897670914608.0,369.47499999999997
2001,0.4418333333333333,25692.994,4.108,6254936464.0,,371.0208333333333
2002,0.4975,26265.332,4.144,6337730343.0,,373.09666666666664
2003,0.5075833333333334,27652.691,4.307,6420361633.0,,375.6366666666667
2004,0.448,28610.023,4.399,6503377774.0,,377.3625
2005,0.5460833333333334,29598.951,4.494,6586970132.0,,379.60999999999996
2006,0.50575,30594.152,4.586,6671452019.0,,381.80833333333334
2007,0.4916666666666667,31499.256,4.662,6757308776.0,,383.5925
2008,0.3950833333333333,32049.66,4.683,6844457659.0,,385.4491666666666
2009,0.5051666666666667,31513.014,4.546,6932766416.0,,387.35833333333335
2010,0.5604166666666667,33317.672,4.745,7021732143.0,89807710403740.0,389.90000000000003
2011,0.42483333333333334,34479.988,4.849,7110923773.0,,391.64916666666664
2012,0.4708333333333334,34954.734,4.854,7201202478.0,,393.87083333333334
2013,0.5149166666666667,35275.82,4.838,7291793585.0,,396.56666666666666
2014,0.5800833333333334,35465.695,4.805,7381616239.0,,398.6133333333333
2015,0.76425,35403.527,4.739,7470491876.0,106871829405667.0,400.885
2016,0.7977500000000001,35392.832,4.682,7558554527.0,110407200853028.0,404.2775
2017,0.6784166666666667,35974.609,4.705,7645617952.0,114529588369027.0,406.355
